index,post_screen_name,text_screen_name,content,test
0,IvankaTrump,IvankaTrump,Tweet,IvankaTrump
1,willripleyCNN,willripleyCNN,Tweet,willripleyCNN
3,Independent,Independent,Tweet,Independent
6,WhigsnTwigs,@ChadPergram:,RT,ChadPergram
11,karasskarim,@AndreHebron1,Tweet,AndreHebron1
12,karasskarim,@Suits_USA,Tweet,Suits_USA
13,karasskarim,@USA_Network,Tweet,USA_Network
17,DJTagainin2020,@ChadPergram:,RT,ChadPergram
25,StolenSweeties,@TIME:,RT,TIME
34,Meliorist59,@HornheadStudio:,RT,HornheadStudio
44,pitchblackcards,pitchblackcards,Tweet,pitchblackcards
55,CompuSOLVE,@CNET,Tweet,CNET
67,jjeuwiqum,@seulgifood:,RT,seulgifood
80,emmettknowlton,emmettknowlton,Tweet,emmettknowlton
94,DrJillGildeaGPS,@NMSHappyHawk:,RT,NMSHappyHawk
110,CarlEva691,@DOI_Tour:,RT,DOI_Tour
111,CarlEva691,@Olympics,RT,Olympics
112,CarlEva691,@…,RT,CarlEva691
128,davidpj70clark,@BritishArmy:,RT,BritishArmy
129,davidpj70clark,@…,RT,davidpj70clark
148,eazeee2004,@TeamUSA:,RT,TeamUSA
149,eazeee2004,@MaiaShibutani,RT,MaiaShibutani
150,eazeee2004,@AlexShibutani,RT,AlexShibutani
170,OlympicsView,OlympicsView,Tweet,OlympicsView
194,LaToyiaDennis,@lovelyluckylife:,RT,lovelyluckylife
219,Essexsteve78,@IntelGaming:,RT,IntelGaming
245,chimjimochi,@PentagonINA:,RT,PentagonINA
272,ayymackarena,@diceypineapples:,RT,diceypineapples
300,Bluesky_447,@Koreandogs:,RT,Koreandogs
329,ThomasSelbe,@SamanthaBusch,Tweet,SamanthaBusch
359,haileytotoro,@seulgifood:,RT,seulgifood
390,ChadPergram,ChadPergram,Tweet,ChadPergram
422,sarahloyd,sarahloyd,Tweet,sarahloyd
455,Best_Presents_,@intradue:,RT,intradue
490,jenpsht,@IntelGaming:,RT,IntelGaming
491,jenpsht,@Olympics,RT,Olympics
525,BenMurphyTV,@WCBD,Tweet,WCBD
562,MantisMazins,@YouTube,Tweet,YouTube
600,harrysawyers,@NYTmag,Tweet,NYTmag
640,lerma_pau,@DangeRussWilson:,RT,DangeRussWilson
641,lerma_pau,@Bose,RT,Bose
642,lerma_pau,@MikaelaShiffrin,RT,MikaelaShiffrin
643,lerma_pau,@USSKiTeam,RT,USSKiTeam
682,g_cruz5,@IntelGaming:,RT,IntelGaming
726,WS_Newz,WS_Newz,Tweet,WS_Newz
771,Sec_Summer,Sec_Summer,Tweet,Sec_Summer
817,POLSDenver,POLSDenver,Tweet,POLSDenver
864,Morr_1980,@DavidNakamura:,RT,DavidNakamura
913,LandBRPOAS,@BritishArmy:,RT,BritishArmy
914,LandBRPOAS,@…,RT,LandBRPOAS
962,__biaduarte,@TIME:,RT,TIME
1014,AndreHebron1,@karasskarim,Tweet,karasskarim
1015,AndreHebron1,@Suits_USA,Tweet,Suits_USA
1016,AndreHebron1,@USA_Network,Tweet,USA_Network
1067,GavetanhoCarlie,@TabloTV:,RT,TabloTV
1123,tecnolang,@IntelGaming:,RT,IntelGaming
1124,tecnolang,@Olympics,RT,Olympics
1179,Jerilynncolvin,@TIME:,RT,TIME
1237,Stephen_Gash,@FoxNews,Tweet,FoxNews
1297,tealtan,@sarambsimon,Tweet,sarambsimon
1298,tealtan,@_alastair,Tweet,_alastair
1299,tealtan,@albertsun,Tweet,albertsun
1359,tecnolang,@intel:,RT,intel
1360,tecnolang,@Olympics,RT,Olympics
1422,LeanBodyFormula,LeanBodyFormula,Tweet,LeanBodyFormula
1487,KARAwaDC,@Om7DCStan:,RT,Om7DCStan
1553,Autos_Agent,Autos_Agent,Tweet,Autos_Agent
1621,Rude4eyez_,@THR:,Tweet,THR
1622,Rude4eyez_,.@Lesdoggg,Tweet,Lesdoggg
1689,intradue,intradue,Tweet,intradue
1759,S_T_A_G,@IntelGaming:,RT,IntelGaming
1830,Kita___K,@TIME:,RT,TIME
1903,jkoufis9613,@SpyrosCapralos:,RT,SpyrosCapralos
1904,jkoufis9613,@beINSPORTS,RT,beINSPORTS
1905,jkoufis9613,@pyeongchang2018,RT,pyeongchang2018
1977,yennnaaaa913,@seulgifood:,RT,seulgifood
2053,syqau,syqau,Tweet,syqau
2131,bartoplayer,@Timbaxter1:,RT,Timbaxter1
2132,bartoplayer,@Samsung,RT,Samsung
2209,FashionablyCbus,FashionablyCbus,Tweet,FashionablyCbus
2289,Tawny2222,@DavidNakamura:,RT,DavidNakamura
2370,cutler18,@KeithFarmer18:,RT,KeithFarmer18
2452,timgreene207,@ericfisher:,RT,ericfisher
2535,myitim1,@bakerv801:,RT,bakerv801
2619,surijaan,@TIME:,RT,TIME
2704,panamworldnews,panamworldnews,Tweet,panamworldnews
2790,jxngpinkeu,@seulgifood:,RT,seulgifood
2877,timmshady,timmshady,Tweet,timmshady
2965,conciergelive,@Olympics,Tweet,Olympics
3054,dlazar13,@Olympics,Tweet,Olympics
3144,purplerenes,@seulgifood:,RT,seulgifood
3235,CatholicRegistr,CatholicRegistr,Tweet,CatholicRegistr
3327,MeganCulley,@TIME:,RT,TIME
3421,athleticsEHS,@allisonsross:,RT,allisonsross
3422,athleticsEHS,@EasternHSMedia,RT,EasternHSMedia
3423,athleticsEHS,@athleticsEHS…,RT,athleticsEHS
3516,FWCII,@nytimes:,RT,nytimes
3613,ecobackpackers,@AnitaHendrieka:,RT,AnitaHendrieka
3711,patton_amye,@VanityFair:,RT,VanityFair
3810,nirregev,@MikaelaShiffrin…,Tweet,MikaelaShiffrin
3910,AndreaW28925929,@TIME:,RT,TIME
4011,jen_e_fur17,@diceypineapples:,RT,diceypineapples
4114,_TechNerdEnt_,@IntelGaming:,RT,IntelGaming
4115,_TechNerdEnt_,@Olympics,RT,Olympics
4217,cslatersr,@DavidNakamura:,RT,DavidNakamura
4323,fuwayuzupi,@NBCSportsPR:,RT,NBCSportsPR
4324,fuwayuzupi,.@taralipinski,RT,taralipinski
4325,fuwayuzupi,@JohnnyGWeir,RT,JohnnyGWeir
4430,Timbaxter1,@Samsung,Tweet,Samsung
4539,justlikenature,@TIME:,RT,TIME
4649,PoliticsUSTD,@NPRmelissablock:,RT,NPRmelissablock
4760,ciudadanourbano,@TIME:,RT,TIME
4872,IceHockey_Newz,IceHockey_Newz,Tweet,IceHockey_Newz
4986,mrstserc,@NBCSportsPR:,RT,NBCSportsPR
4987,mrstserc,.@taralipinski,RT,taralipinski
4988,mrstserc,@JohnnyGWeir,RT,JohnnyGWeir
5101,ScottGMartyn,@farekg:,RT,farekg
5218,NPRextra,@NPRmelissablock:,RT,NPRmelissablock
5336,TimurMaskayev,TimurMaskayev,Tweet,TimurMaskayev
5455,BorissDoza,@AlphaBravoUSA:,RT,AlphaBravoUSA
5575,cgirard,@TIME:,RT,TIME
5696,obregon_aj,@TIME:,RT,TIME
5818,sarahndipitydu,@NYTmag:,RT,NYTmag
5941,regcoral,@TIME:,RT,TIME
6065,Nathan_Micallef,@Channel7,Tweet,Channel7
6190,myongaji,@DavidNakamura:,RT,DavidNakamura
6316,Blooming_HL,@ABC:,RT,ABC
6443,_keithmorgan,@denverpost,Tweet,denverpost
6571,Susie_Soapsuds,@AngrierWHStaff,Tweet,AngrierWHStaff
6700,IvankaTrump,IvankaTrump,Tweet,IvankaTrump
6830,willripleyCNN,willripleyCNN,Tweet,willripleyCNN
6961,Independent,Independent,Tweet,Independent
7093,slh2813,@ChadPergram:,RT,ChadPergram
7226,WhigsnTwigs,@ChadPergram:,RT,ChadPergram
7361,karasskarim,@AndreHebron1,Tweet,AndreHebron1
7362,karasskarim,@Suits_USA,Tweet,Suits_USA
7363,karasskarim,@USA_Network,Tweet,USA_Network
7497,DJTagainin2020,@ChadPergram:,RT,ChadPergram
7635,StolenSweeties,@TIME:,RT,TIME
7774,Meliorist59,@HornheadStudio:,RT,HornheadStudio
7914,pitchblackcards,pitchblackcards,Tweet,pitchblackcards
8055,CompuSOLVE,@CNET,Tweet,CNET
8197,jjeuwiqum,@seulgifood:,RT,seulgifood
8340,emmettknowlton,emmettknowlton,Tweet,emmettknowlton
8484,DrJillGildeaGPS,@NMSHappyHawk:,RT,NMSHappyHawk
8630,CarlEva691,@DOI_Tour:,RT,DOI_Tour
8631,CarlEva691,@Olympics,RT,Olympics
8632,CarlEva691,@…,RT,CarlEva691
8778,davidpj70clark,@BritishArmy:,RT,BritishArmy
8779,davidpj70clark,@…,RT,davidpj70clark
8928,eazeee2004,@TeamUSA:,RT,TeamUSA
8929,eazeee2004,@MaiaShibutani,RT,MaiaShibutani
8930,eazeee2004,@AlexShibutani,RT,AlexShibutani
9080,OlympicsView,OlympicsView,Tweet,OlympicsView
9234,LaToyiaDennis,@lovelyluckylife:,RT,lovelyluckylife
9389,Essexsteve78,@IntelGaming:,RT,IntelGaming
9545,chimjimochi,@PentagonINA:,RT,PentagonINA
9702,ayymackarena,@diceypineapples:,RT,diceypineapples
9860,Bluesky_447,@Koreandogs:,RT,Koreandogs
10019,ThomasSelbe,@SamanthaBusch,Tweet,SamanthaBusch
10179,haileytotoro,@seulgifood:,RT,seulgifood
10340,ChadPergram,ChadPergram,Tweet,ChadPergram
10502,sarahloyd,sarahloyd,Tweet,sarahloyd
10665,Best_Presents_,@intradue:,RT,intradue
10830,jenpsht,@IntelGaming:,RT,IntelGaming
10831,jenpsht,@Olympics,RT,Olympics
10995,BenMurphyTV,@WCBD,Tweet,WCBD
11162,MantisMazins,@YouTube,Tweet,YouTube
11330,harrysawyers,@NYTmag,Tweet,NYTmag
11500,lerma_pau,@DangeRussWilson:,RT,DangeRussWilson
11501,lerma_pau,@Bose,RT,Bose
11502,lerma_pau,@MikaelaShiffrin,RT,MikaelaShiffrin
11503,lerma_pau,@USSKiTeam,RT,USSKiTeam
11672,g_cruz5,@IntelGaming:,RT,IntelGaming
11846,WS_Newz,WS_Newz,Tweet,WS_Newz
12021,Sec_Summer,Sec_Summer,Tweet,Sec_Summer
12197,POLSDenver,POLSDenver,Tweet,POLSDenver
12374,Morr_1980,@DavidNakamura:,RT,DavidNakamura
12553,LandBRPOAS,@BritishArmy:,RT,BritishArmy
12554,LandBRPOAS,@…,RT,LandBRPOAS
12732,__biaduarte,@TIME:,RT,TIME
12914,AndreHebron1,@karasskarim,Tweet,karasskarim
12915,AndreHebron1,@Suits_USA,Tweet,Suits_USA
12916,AndreHebron1,@USA_Network,Tweet,USA_Network
13097,GavetanhoCarlie,@TabloTV:,RT,TabloTV
13283,tecnolang,@IntelGaming:,RT,IntelGaming
13284,tecnolang,@Olympics,RT,Olympics
13469,Jerilynncolvin,@TIME:,RT,TIME
13657,Stephen_Gash,@FoxNews,Tweet,FoxNews
13847,tealtan,@sarambsimon,Tweet,sarambsimon
13848,tealtan,@_alastair,Tweet,_alastair
13849,tealtan,@albertsun,Tweet,albertsun
14039,tecnolang,@intel:,RT,intel
14040,tecnolang,@Olympics,RT,Olympics
14232,LeanBodyFormula,LeanBodyFormula,Tweet,LeanBodyFormula
14427,KARAwaDC,@Om7DCStan:,RT,Om7DCStan
14623,Autos_Agent,Autos_Agent,Tweet,Autos_Agent
14821,Rude4eyez_,@THR:,Tweet,THR
14822,Rude4eyez_,.@Lesdoggg,Tweet,Lesdoggg
15019,intradue,intradue,Tweet,intradue
15219,S_T_A_G,@IntelGaming:,RT,IntelGaming
15420,Kita___K,@TIME:,RT,TIME
15623,jkoufis9613,@SpyrosCapralos:,RT,SpyrosCapralos
15624,jkoufis9613,@beINSPORTS,RT,beINSPORTS
15625,jkoufis9613,@pyeongchang2018,RT,pyeongchang2018
15827,yennnaaaa913,@seulgifood:,RT,seulgifood
16033,syqau,syqau,Tweet,syqau
16241,bartoplayer,@Timbaxter1:,RT,Timbaxter1
16242,bartoplayer,@Samsung,RT,Samsung
16449,FashionablyCbus,FashionablyCbus,Tweet,FashionablyCbus
16659,Tawny2222,@DavidNakamura:,RT,DavidNakamura
16870,cutler18,@KeithFarmer18:,RT,KeithFarmer18
17082,timgreene207,@ericfisher:,RT,ericfisher
17295,myitim1,@bakerv801:,RT,bakerv801
17509,surijaan,@TIME:,RT,TIME
17724,panamworldnews,panamworldnews,Tweet,panamworldnews
17940,jxngpinkeu,@seulgifood:,RT,seulgifood
18157,timmshady,timmshady,Tweet,timmshady
18375,conciergelive,@Olympics,Tweet,Olympics
18594,dlazar13,@Olympics,Tweet,Olympics
18814,purplerenes,@seulgifood:,RT,seulgifood
19035,CatholicRegistr,CatholicRegistr,Tweet,CatholicRegistr
19257,MeganCulley,@TIME:,RT,TIME
19481,athleticsEHS,@allisonsross:,RT,allisonsross
19482,athleticsEHS,@EasternHSMedia,RT,EasternHSMedia
19483,athleticsEHS,@athleticsEHS…,RT,athleticsEHS
19706,FWCII,@nytimes:,RT,nytimes
19933,ecobackpackers,@AnitaHendrieka:,RT,AnitaHendrieka
20161,patton_amye,@VanityFair:,RT,VanityFair
20390,nirregev,@MikaelaShiffrin…,Tweet,MikaelaShiffrin
20620,AndreaW28925929,@TIME:,RT,TIME
20851,jen_e_fur17,@diceypineapples:,RT,diceypineapples
21084,_TechNerdEnt_,@IntelGaming:,RT,IntelGaming
21085,_TechNerdEnt_,@Olympics,RT,Olympics
21317,cslatersr,@DavidNakamura:,RT,DavidNakamura
