index,post_screen_name,text_screen_name,content,test
0,soompi,soompi,Tweet,soompi
1,joshrogin,joshrogin,Tweet,joshrogin
3,SBNation,SBNation,Tweet,SBNation
6,BishopIkedi1,BishopIkedi1,Tweet,BishopIkedi1
10,RoDCelaya,@nzaccardi:,RT,nzaccardi
15,AllOnFire,AllOnFire,Tweet,AllOnFire
21,pamdon18,@Koreandogs:,RT,Koreandogs
28,phillippetrulak,@NFLRT:,RT,NFLRT
37,pamdon18,@Koreandogs:,RT,Koreandogs
38,pamdon18,@Change,RT,Change
46,corbangw14,@SBNation:,RT,SBNation
57,BrookingsK,@theblaze:,RT,theblaze
69,nbc25fox66,nbc25fox66,Tweet,nbc25fox66
82,powklan7,@newsmax:,RT,newsmax
96,BIANHTH,@minmeraki:,RT,minmeraki
111,ABabino,ABabino,Tweet,ABabino
127,EmetMihajlo,@HaraldDoornbos:,RT,HaraldDoornbos
144,rlstudentcounci,rlstudentcounci,Tweet,rlstudentcounci
162,iPRESIDIUM,iPRESIDIUM,Tweet,iPRESIDIUM
182,steadlight,@NYTStyles:,RT,NYTStyles
183,steadlight,"@alexipappas,",RT,alexipappas
202,ksbw,ksbw,Tweet,ksbw
224,myfitlifegear,myfitlifegear,Tweet,myfitlifegear
247,Sokkaa_RSS,Sokkaa_RSS,Tweet,Sokkaa_RSS
271,taeswfts,@minmeraki:,RT,minmeraki
296,jaybee230,@SBNation:,RT,SBNation
322,LaffsAtTheFash,@BlackFeminisms:,RT,BlackFeminisms
349,Social_Media_c4,Social_Media_c4,Tweet,Social_Media_c4
377,xtcollegebb,xtcollegebb,Tweet,xtcollegebb
406,jeonschu,@minmeraki:,RT,minmeraki
436,IndiaTodayNews1,IndiaTodayNews1,Tweet,IndiaTodayNews1
467,thedailyjournal,thedailyjournal,Tweet,thedailyjournal
500,SPORTTAPE,@GBParkandPipe:,RT,GBParkandPipe
501,SPORTTAPE,@gbparkandpipe,RT,gbparkandpipe
533,LeighMathys,@BlackFeminisms:,RT,BlackFeminisms
568,netsumonnanka,netsumonnanka,Tweet,netsumonnanka
604,Revolvermag,Revolvermag,Tweet,Revolvermag
642,angelilycy,@chimfansite:,RT,chimfansite
643,angelilycy,@BTS_twt,RT,BTS_twt
680,MissMatson58,MissMatson58,Tweet,MissMatson58
720,PBS,@NewsHour's,Tweet,NewsHours
761,zaretaf4w9its,zaretaf4w9its,Tweet,zaretaf4w9its
803,angstaekwoon,@crystalcyphers:,RT,crystalcyphers
846,ayurastianii_,@ARMYIndonesiaa:,RT,ARMYIndonesiaa
890,KPMcFarland,KPMcFarland,Tweet,KPMcFarland
935,Kolie_Yola,@okayafrica:,RT,okayafrica
981,ziavelasquez,@baobobaek:,RT,baobobaek
1028,damkup,@okayafrica:,RT,okayafrica
1076,ManvirMundra,@NFLRT:,RT,NFLRT
1125,usakofs,@YukiNieve:,RT,YukiNieve
1176,JenniferDykes12,@amandacdykes:,RT,amandacdykes
1177,JenniferDykes12,@hillviewreads!,RT,hillviewreads
1178,JenniferDykes12,@WonderWorkshop.,RT,WonderWorkshop
1228,The_Lyon_Kingg,The_Lyon_Kingg,Tweet,The_Lyon_Kingg
1282,quadlutzes,@keijitanakas:,RT,keijitanakas
1337,17mamabts4,@crystalcyphers:,RT,crystalcyphers
1393,1StevieKilner,@itsshsuth,Tweet,itsshsuth
1450,FuWoolBonBon,@willripleyCNN:,RT,willripleyCNN
1508,Fredagsvik,@ammattipyoraily:,RT,ammattipyoraily
1567,ecasey77,@playfanschool:,RT,playfanschool
1627,whoyougotSNOW,@SBNation:,RT,SBNation
1688,MSHS_SO,@Maine_South:,RT,Maine_South
1750,TannerConrad,@NFLRT:,RT,NFLRT
1813,larughh,larughh,Tweet,larughh
1877,17mamabts4,@minmeraki:,RT,minmeraki
1942,lacer2k,lacer2k,Tweet,lacer2k
2008,greengroundit,greengroundit,Tweet,greengroundit
2076,night_in_gail,@samantha1ynn:,RT,samantha1ynn
2077,night_in_gail,@_ElizabethWyman,RT,_ElizabethWyman
2144,Lisa45000,@NBCDFW:,RT,NBCDFW
2214,HaraldDoornbos,HaraldDoornbos,Tweet,HaraldDoornbos
2285,succulentjoon,@minmeraki:,RT,minmeraki
2357,callllvin,@NFLRT:,RT,NFLRT
2430,KestlerBrittney,@Maine_South:,RT,Maine_South
2504,dankmaths,@SoraKingdomKey3:,RT,SoraKingdomKey3
2579,SafetyCutie,SafetyCutie,Tweet,SafetyCutie
2656,AlexiPappas,@NYTStyles:,RT,NYTStyles
