index,betweenness,closeness,degree,retweets,scaled_degree,listed_count,score
1037ChuckFM,0.0,0.0,2,0.0,0.0020408163265306124,13.0,-0.23458475900113074
1127AM_,0.0,0.0010214504596527069,1,0.0,0.0010204081632653062,0.0,-0.043543973217882545
11Yumitsu11,0.0,0.0010214504596527069,1,0.0,0.0010204081632653062,0.0,-0.043543973217882545
13OYSL,0.0,0.0,2,0.0,0.0020408163265306124,15.0,-0.23449106890717014
14sakura214,0.0,0.0010214504596527069,1,0.0,0.0010204081632653062,10.0,-0.04307552274807963
17mamabts4,0.0,0.0020429009193054137,2,0.0,0.0020408163265306124,0.0,0.3005006825790948
18dMedia,0.0,0.0,2,0.0,0.0020408163265306124,39.0,-0.23336678777964315
1StevieKilner,0.0,0.0010214504596527069,1,0.0,0.0010204081632653062,68.0,-0.0403585100232227
1_newsnet,0.0,0.0,2,0.0,0.0020408163265306124,56.0,-0.23257042198097816
23238ffm,0.0,0.0010214504596527069,1,0.0,0.0010204081632653062,9.0,-0.043122367795059915
2K8ENzp3XDxYnwl,0.0,0.0010214504596527069,1,0.0,0.0010204081632653062,0.0,-0.043543973217882545
2Learn_ca,0.0,0.0,1,8.0,0.0010204081632653062,0.0,-0.1719353400922905
2d_reviews,0.0,0.0010214504596527069,1,0.0,0.0010204081632653062,0.0,-0.043543973217882545
32a3ad1e586243d,0.0,0.0020429009193054137,2,0.0,0.0020408163265306124,0.0,0.3005006825790948
3axel_2toe_tano,0.0,0.005107252298263534,5,0.0,0.00510204081632653,0.0,1.3326346499700263
4EyedCe,0.0,0.0010214504596527069,1,0.0,0.0010204081632653062,2.0,-0.04345028312392196
512JORGE,0.0,0.0010214504596527069,1,0.0,0.0010204081632653062,14.0,-0.04288814256015845
94_degrees,0.0,0.0,8,38.0,0.00816326530612245,0.0,0.8844061805221954
971theriver,0.0,0.0,2,0.0,0.0020408163265306124,37.0,-0.2334604778736037
989theGoat,0.0,0.0,1,7.0,0.0010204081632653062,0.0,-0.1893673209324251
