screen_name,text,name,listed_count
soompi,#Taecyeon To Join #2PM For Performance As Full Group At Pyeongchang Winter Olympics https://t.co/v3MQ7mYO1K https://t.co/ipQDNZFMXu,Soompi | #SoompiAwards,5448
joshrogin,"Breaking: Vice President Pence will bring Fred Warmbier, father of Otto Warmbier, as his personal guest to the Wint… https://t.co/PbqFE01Ug4",Josh Rogin,3439
SBNation,"🥇3 days: Winter Olympics
🏀55 days: Women's NCAA tourney final
🏀56 days: Men's NCAA tourney final
⛳️59 days: Masters… https://t.co/Aj18dTKlZR",SB Nation,5243
BishopIkedi1,The Fantastic Four! Nigeria’s Bobsled &amp; Skeleton reps in South Korea for the Winter Olympics https://t.co/hfWvcfVF3R https://t.co/TVx2mZvuw1,Bishop Ikedi,57
RoDCelaya,RT @nzaccardi: The Winter Olympics start this week! Here's a daily guide of key events in PyeongChang. https://t.co/Q9IjCW1KUN,Rod Celaya,6
AllOnFire,"From the award-winning Snowman Paul book series
Just in time for the Winter Olympics! 
For Early Readers
Ages 4-7… https://t.co/DnRuMTGl7A",All On Fire Books,474
pamdon18,"RT @Koreandogs: Boycott PyeongChang 2018 Winter Olympics in South Korea, A Dog Eating Nation! - Sign the Petition! https://t.co/LUQB5kB61m…",Pamela Doney,0
phillippetrulak,"RT @NFLRT: After winning Super Bowl MVP, Nick Foles has turned his attention towards the Winter Olympics https://t.co/PuMeceQnpH",Phillip Petrulak,4
pamdon18,RT @Koreandogs: [URGENT] Ask the PyeongChang 2018 Athletes to speak out against cruelty! https://t.co/Vl6h6zdrkJ via @Change,Pamela Doney,0
corbangw14,"RT @SBNation: 🥇3 days: Winter Olympics
🏀55 days: Women's NCAA tourney final
🏀56 days: Men's NCAA tourney final
⛳️59 days: Masters
💪62 days:…",Corban,4
BrookingsK,RT @theblaze: Otto Warmbier’s father to join VP Pence at opening ceremonies for Winter Olympics in South Korea https://t.co/DEAf9PtMt7,BrookingsK,1
nbc25fox66,In just three days the #Olympics begin in Pyeongchang. A lot of the snow there is courtesy of machines made in mid-… https://t.co/LpEWHqhLQo,NBC25 / FOX66 News,329
powklan7,"RT @newsmax: Vice President Pence will focus on putting pressure on North Korea, with the father of Otto Warmbier at his side. 
https://t.c…",Darlene Powell,0
BIANHTH,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",ⓣⓗⓤ・ⓑⓤⓘ,6
ABabino,Winter Olympics Attack Expands with Top-Tier Spyware https://t.co/WBOnG4GjPY,Adriana Babino,22
EmetMihajlo,RT @HaraldDoornbos: Nice. Afghan stamp from 1984 commemorating Sarajevo Winter Olympics. https://t.co/1pEASbKMqh,Emet Mihajlo,0
rlstudentcounci,This Friday is Team Canada day as the 2018 Winter Olympics begin! Show your Olympic spirit by sporting Canada gear… https://t.co/qorH4V9QIB,RL StudentCouncil,0
iPRESIDIUM,Winter Olympics Attack Expands with Top-Tier Spyware https://t.co/zWPkSyjGLk,iPRESIDIUM,34
steadlight,"RT @NYTStyles: Four Olympic athletes, including @alexipappas, will be attending the Winter Games in Pyeongchang as artists. https://t.co/IJ…",Stephen Attong,14
ksbw,20 of the hottest athletes competing in the Winter Olympics https://t.co/sqTy6KLbUv https://t.co/8ILAD0C0u0,KSBW Action News 8,539
myfitlifegear,The Workout That Saves Lindsey Vonn From Wipeouts  https://t.co/19eL4QYG1V #myfitlifegear #lindseyvonn #olympics #skiing #workout,MyFitLifeGear,1
Sokkaa_RSS,"Winter Olympics-Bound Bobsled Team Speak On Nigerian Jollof, Fashion, Celebrity Status And Medal Hopes In Korea… https://t.co/IpwXBg9hip",Sokkaa_RSS,30
taeswfts,"RT @minmeraki: [REPORTED BTS MIGHT DO A COLLAB WITH COCA-COLA] 
Caption: 
""Are you ready to enjoy the 2018 Peyongchang Winter Olympics? 
Co…",annie • ASD📌,41
