,cluster,names,president,x_vals,y_vales
0,4,Speech_0,George Washington,-0.3727736462906898,-0.3808125252350257
1,4,Speech_1,George Washington,-0.37277364629067394,-0.3808125252350112
2,0,Speech_2,George Washington,-0.37277364629067755,-0.3808125252350157
3,0,Speech_3,George Washington,-0.37277364629065124,-0.3808125252349899
4,0,Speech_4,George Washington,-0.2059766198465975,-0.19368197072749702
5,0,Speech_5,George Washington,-0.37277364629067206,-0.38081252523501125
6,4,Speech_6,George Washington,-0.10485734398876925,-0.4346576671740985
7,0,Speech_7,George Washington,-0.218964564897399,-0.4345716468391124
8,0,Speech_8,George Washington,-0.37277364629069687,-0.3808125252350332
9,4,Speech_9,George Washington,-0.5881970645295026,-0.1336250938283851
10,0,Speech_10,George Washington,-0.3727736462906755,-0.380812525235013
11,0,Speech_11,George Washington,-0.21896456489739205,-0.43457164683909866
12,0,Speech_12,George Washington,-0.2189645648973925,-0.4345716468391003
13,4,Speech_13,George Washington,-0.3727736462906871,-0.380812525235025
14,0,Speech_14,George Washington,-0.35257307158112033,-0.19955507873764394
15,0,Speech_15,George Washington,-0.2127337437718774,-0.6578608948215835
16,0,Speech_16,George Washington,-0.3727736462906748,-0.38081252523501236
17,9,Speech_17,George Washington,-0.3727736462906715,-0.3808125252350103
18,0,Speech_18,George Washington,-0.28984561486681765,-0.03157036260660674
19,4,Speech_19,George Washington,-0.3727736462906495,-0.3808125252349899
20,0,Speech_20,George Washington,-0.36843237606874935,-0.3243417558830108
21,4,Speech_21,John Adams,-0.25978608546800014,-0.3191876441949648
22,0,Speech_22,John Adams,-0.3727736462906421,-0.38081252523498155
23,0,Speech_23,John Adams,-0.3727736462906649,-0.3808125252350045
24,4,Speech_24,John Adams,-0.3357978699877604,-0.09709970310433996
25,0,Speech_25,John Adams,-0.3727736462906639,-0.3808125252350027
26,0,Speech_26,John Adams,-0.37277364629065446,-0.3808125252349936
27,4,Speech_27,John Adams,-0.33579786998774663,-0.09709970310433703
28,0,Speech_28,John Adams,0.07740150338423332,-0.3627943773689589
29,0,Speech_29,John Adams,-0.37277364629067267,-0.3808125252350125
30,4,Speech_30,Thomas Jefferson,-0.3811821937847779,0.20795491544659583
31,4,Speech_31,Thomas Jefferson,-0.3684113924273434,-0.32435119637577486
32,0,Speech_32,Thomas Jefferson,-0.3727736462906847,-0.3808125252350233
33,4,Speech_33,Thomas Jefferson,-0.3811821937847773,0.20795491544659594
